City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ridgecrest,35.6225,-117.6709,59.0,38,40,20.71,US,1613118396
Östersund,63.1792,14.6357,19.4,86,100,17.27,SE,1613118484
Bengkulu,-3.8004,102.2655,85.42,65,19,9.44,ID,1613118485
Dikson,73.5069,80.5464,-17.77,89,100,8.48,RU,1613118485
Atuona,-9.8,-139.0333,78.82,77,1,11.03,PF,1613118485
Hilo,19.7297,-155.09,69.8,78,90,5.75,US,1613118485
Ushuaia,-54.8,-68.3,44.6,81,40,4.61,AR,1613118485
Ereymentau,51.6199,73.1033,6.71,92,0,1.97,KZ,1613118486
Mossamedes,-15.1961,12.1522,80.6,65,40,12.66,AO,1613118486
Nikolskoye,59.7035,30.7861,3.99,85,75,11.18,RU,1613118486
Arkhipo-Osipovka,44.37,38.52,55.36,63,60,22.41,RU,1613118486
Punta Arenas,-53.15,-70.9167,48.2,61,90,17.27,CL,1613118486
Necochea,-38.5473,-58.7368,64.99,97,97,1.01,AR,1613118486
Puerto Ayora,-0.7393,-90.3518,75.0,98,78,7.18,EC,1613118486
East London,-33.0153,27.9116,84.2,70,0,4.61,ZA,1613118303
New Norfolk,-42.7826,147.0587,66.99,59,95,3.0,AU,1613118487
Howard Springs,-12.497,131.047,84.2,79,75,10.36,AU,1613118487
Ostrovnoy,68.0531,39.5131,6.46,92,100,8.41,RU,1613118487
Kapaa,22.0752,-159.319,64.4,82,1,9.22,US,1613118487
Longhua,23.6137,114.1919,68.59,54,99,2.86,CN,1613118487
Simao,22.7886,100.9748,71.64,33,0,5.84,CN,1613118487
Sakhnovshchyna,49.1517,35.872,41.47,89,100,10.63,UA,1613118487
Hobart,-42.8794,147.3294,68.0,45,75,12.66,AU,1613118407
Portland,45.5234,-122.6762,28.99,74,90,21.85,US,1613117707
Bethel,41.3712,-73.414,15.8,48,1,3.44,US,1613118488
Ixtapa,20.7,-105.2,59.86,82,2,2.8,MX,1613118488
Busselton,-33.65,115.3333,79.0,46,0,3.0,AU,1613118488
Tagusao,9.1924,117.8141,80.87,82,63,11.72,PH,1613118488
Evensk,61.95,159.2333,-0.08,82,0,6.8,RU,1613118488
Senno,59.5336,33.9167,1.0,83,25,3.0,RU,1613118489
Klaksvík,62.2266,-6.589,30.2,80,20,5.75,FO,1613118489
Norman Wells,65.282,-126.8329,-13.0,84,1,4.61,CA,1613118489
Beloha,-25.1667,45.05,82.53,59,100,12.8,MG,1613118489
Arlit,18.7369,7.3853,76.26,15,0,4.52,NE,1613118489
North Bend,43.4065,-124.2243,48.99,93,90,8.05,US,1613118489
Cape Town,-33.9258,18.4232,73.4,83,75,16.11,ZA,1613118431
Doha,25.2867,51.5333,80.01,44,0,10.36,QA,1613118490
Tura,25.5198,90.2201,80.64,26,93,5.44,IN,1613118490
Talnakh,69.4865,88.3972,-20.58,86,98,2.24,RU,1613118490
Asău,46.4333,26.4,21.0,57,92,6.31,RO,1613118490
Saskylakh,71.9167,114.0833,-23.75,83,46,5.08,RU,1613118490
Bluff,-46.6,168.3333,55.99,77,0,5.01,NZ,1613118491
Pozo Colorado,-23.4923,-58.7972,71.64,60,90,2.28,PY,1613118491
Barrow,71.2906,-156.7887,-25.6,68,90,9.22,US,1613118491
Horodnytsya,50.807,27.3168,8.73,94,100,14.65,UA,1613118491
Thompson,55.7435,-97.8558,-43.6,73,1,4.61,CA,1613118385
Cabo San Lucas,22.8909,-109.9124,60.01,86,0,1.01,MX,1613118257
Ahipara,-35.1667,173.1667,61.77,71,0,9.55,NZ,1613118491
George Town,5.4112,100.3354,91.0,62,20,10.36,MY,1613118197
Yellowknife,62.456,-114.3525,-16.01,83,1,8.05,CA,1613118492
Ponta do Sol,32.6667,-17.1,57.0,71,12,1.99,PT,1613118492
Hazro City,33.9091,72.4921,73.0,33,99,1.99,PK,1613118434
Tuktoyaktuk,69.4541,-133.0374,2.5,87,100,8.5,CA,1613118492
Isla Mujeres,21.2311,-86.731,78.01,94,40,9.22,MX,1613118492
Westport,41.1415,-73.3579,19.99,49,1,5.75,US,1613118483
Bosaso,11.2842,49.1816,77.0,69,0,9.73,SO,1613118492
Tessalit,20.1986,1.0114,72.54,16,3,12.57,ML,1613118493
Yumen,40.2833,97.2,47.14,44,0,24.49,CN,1613118493
Rikitea,-23.1203,-134.9692,79.5,69,15,4.03,PF,1613118493
Hasaki,35.7333,140.8333,48.2,61,75,8.05,JP,1613118493
Sala Consilina,40.3912,15.5989,48.0,96,40,1.99,IT,1613118493
Tongling,30.95,117.7833,59.68,68,99,3.44,CN,1613118493
Pangai,-19.8,-174.35,81.27,86,93,12.59,TO,1613118493
Lüderitz,-26.6481,15.1594,67.35,79,93,6.24,NA,1613118494
San Patricio,28.017,-97.5169,36.0,93,90,14.97,US,1613118494
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,26.46,US,1613118494
Pevek,69.7008,170.3133,-19.98,88,100,3.96,RU,1613118494
Arraial do Cabo,-22.9661,-42.0278,75.63,88,100,15.01,BR,1613118494
Port Alfred,-33.5906,26.891,84.38,54,80,4.21,ZA,1613118494
Salinas,36.6777,-121.6555,53.6,82,90,13.8,US,1613118494
Kondinskoye,59.6481,67.41,-12.37,88,48,3.09,RU,1613118494
Singapore,1.2897,103.8501,84.2,89,40,6.91,SG,1613118495
Bathsheba,13.2167,-59.5167,77.0,69,40,18.41,BB,1613118495
Japura,-0.3167,102.35,88.36,64,54,4.59,ID,1613118495
Magistral'nyy,56.1725,107.4458,0.63,84,77,5.35,RU,1613118495
Talcahuano,-36.7167,-73.1167,60.8,94,90,2.3,CL,1613118495
Vitim,59.4511,112.5578,-0.85,87,100,1.95,RU,1613118495
Mar del Plata,-38.0023,-57.5575,70.0,88,90,12.66,AR,1613118495
Tasiilaq,65.6145,-37.6368,19.4,86,75,27.63,GL,1613118496
Valparaíso,-33.0393,-71.6273,64.0,80,100,6.22,CL,1613118496
Oistins,13.0667,-59.5333,77.0,69,40,18.41,BB,1613118496
Betanzos,43.2804,-8.2147,53.01,100,20,5.75,ES,1613118496
Forio,40.7342,13.8646,55.0,81,100,8.99,IT,1613118496
Algiers,36.7525,3.042,51.8,100,20,3.44,DZ,1613118476
Mataura,-46.1927,168.8643,55.99,77,0,5.01,NZ,1613118496
Nanortalik,60.1432,-45.2371,29.17,89,100,9.35,GL,1613118497
Moses Lake,47.1301,-119.2781,21.2,27,90,17.27,US,1613118497
Barra Patuca,15.8,-84.2833,74.12,88,63,7.72,HN,1613118497
Vaini,-21.2,-175.2,80.6,89,20,4.61,TO,1613118497
Severodvinsk,64.5635,39.8302,-13.0,77,75,1.9,RU,1613118497
Mujiayingzi,42.1167,118.7833,37.92,71,74,1.68,CN,1613118497
Vadsø,70.0744,29.7487,15.8,92,75,4.61,NO,1613118497
Saldanha,-33.0117,17.9442,77.0,86,0,3.44,ZA,1613118498
Takoradze,4.8845,-1.7554,81.63,83,100,7.38,GH,1613118498
Sterling,39.0062,-77.4286,30.2,64,90,8.05,US,1613118498
Severomuysk,56.1481,113.4267,-11.16,90,100,7.11,RU,1613118498
French Harbor,16.35,-86.4333,78.01,88,78,3.0,HN,1613118498
Chui,-33.6971,-53.4616,70.3,93,100,10.42,UY,1613118498
Hong Kong,22.2855,114.1577,70.0,49,2,8.01,HK,1613118480
Carnarvon,-24.8667,113.6333,87.8,74,40,21.85,AU,1613118498
Comodoro Rivadavia,-45.8667,-67.5,60.8,77,0,1.14,AR,1613118487
Ikom,5.9667,8.7063,83.59,65,27,2.86,NG,1613118499
Atar,20.5169,-13.0499,61.43,26,0,11.39,MR,1613118499
Butaritari,3.0707,172.7902,81.37,78,16,10.71,KI,1613118499
Kumluca,36.3703,30.2869,59.68,64,14,1.97,TR,1613118499
Saint-Philippe,-21.3585,55.7679,87.8,58,0,31.07,RE,1613118499
Praia,14.9215,-23.5087,69.8,64,20,21.85,CV,1613118500
Ilulissat,69.2167,-51.1,6.8,61,0,5.75,GL,1613118500
La Ronge,55.1001,-105.2842,-14.8,76,100,4.61,CA,1613118500
Uglekamensk,43.2172,133.2303,34.81,88,94,2.73,RU,1613118500
Khatanga,71.9667,102.5,-24.3,86,92,6.98,RU,1613118500
La Seyne-sur-Mer,43.0982,5.8847,52.0,77,100,5.99,FR,1613118501
Alice Springs,-23.7,133.8833,91.4,40,75,18.41,AU,1613118501
Buala,-8.145,159.5921,80.85,80,100,6.42,SB,1613118501
Whitehorse,60.7161,-135.0538,-11.0,70,1,19.57,CA,1613118294
Saint Anthony,45.0205,-93.218,-5.8,71,90,11.5,US,1613118501
Terrace,54.5163,-128.6035,3.2,55,1,6.91,CA,1613118501
Rundu,-17.9333,19.7667,69.46,82,100,5.84,NA,1613118501
Hermanus,-34.4187,19.2345,73.99,87,74,5.99,ZA,1613118501
Hirara,24.8,125.2833,73.4,73,40,16.11,JP,1613118502
Esperance,-33.8667,121.9,68.0,52,0,14.97,AU,1613118502
Albany,42.6001,-73.9662,10.99,69,31,4.68,US,1613118502
Bariloche,-41.1456,-71.3082,50.0,71,0,6.91,AR,1613118502
Goundam,16.4145,-3.6708,73.35,16,40,12.66,ML,1613118502
Hithadhoo,-0.6,73.0833,82.09,74,100,9.37,MV,1613118502
Vostok,46.4856,135.8833,24.98,98,100,4.0,RU,1613118502
Wau,7.7029,27.9953,91.35,12,13,5.88,SS,1613118503
Torbay,47.6666,-52.7314,26.01,93,90,26.46,CA,1613118503
Saint-François,46.4154,3.9054,26.01,80,0,12.66,FR,1613118503
Solnechnyy,50.7214,136.6319,13.03,95,100,1.01,RU,1613118503
Yaan,7.3833,8.5667,82.53,64,12,4.61,NG,1613118503
Sioux Lookout,50.1001,-91.917,-29.2,75,90,2.01,CA,1613118503
Bose,45.4612,8.0137,39.0,78,99,3.0,IT,1613118503
Cidreira,-30.1811,-50.2056,74.66,83,84,13.04,BR,1613118504
Nemuro,43.3236,145.575,24.8,63,20,4.61,JP,1613118504
Lebu,-37.6167,-73.65,57.85,91,25,12.1,CL,1613118504
Luanda,-8.8368,13.2343,84.2,65,20,5.75,AO,1613118504
Bubaque,11.2833,-15.8333,76.91,52,0,13.02,GW,1613118504
Hobyo,5.3505,48.5268,80.76,58,28,19.22,SO,1613118504
Andros Town,24.7,-77.7667,71.6,94,20,4.61,BS,1613118504
Souillac,-20.5167,57.5167,86.0,58,40,16.11,MU,1613118505
Nizhniy Kuranakh,58.8353,125.4869,2.57,92,100,6.35,RU,1613118505
San Luis,-33.295,-66.3356,64.04,65,64,3.8,AR,1613118505
Salalah,17.0151,54.0924,86.0,19,0,10.36,OM,1613118505
Neuquén,-38.9516,-68.0591,69.8,68,0,3.44,AR,1613118505
Nishihara,26.1842,127.7558,69.8,68,75,21.85,JP,1613118505
Bredasdorp,-34.5322,20.0403,75.2,78,75,5.75,ZA,1613118505
Hull,53.7446,-0.3353,28.4,92,70,6.2,GB,1613118506
Avarua,-21.2078,-159.775,75.2,94,57,1.14,CK,1613118506
São João da Barra,-21.6403,-41.0511,75.47,85,98,11.63,BR,1613118506
Naze,28.3667,129.4833,64.4,82,75,25.32,JP,1613118506
Sitka,57.0531,-135.33,33.8,25,1,11.5,US,1613118506
Chester,40.1254,-75.8749,23.0,63,1,3.98,US,1613118506
Cayenne,4.9333,-52.3333,75.2,100,75,10.69,GF,1613118377
Te Anau,-45.4167,167.7167,54.25,82,61,5.26,NZ,1613118507
Ust'-Koksa,50.2696,85.6108,13.77,90,100,0.47,RU,1613118507
Biak,-0.9131,122.8766,82.62,75,91,1.1,ID,1613118507
Hare Bay,48.8499,-54.0148,30.2,100,100,6.91,CA,1613118507
Zhytomyr,50.2649,28.6767,8.47,94,100,18.63,UA,1613118507
Atambua,-9.1061,124.8925,79.77,80,100,3.33,ID,1613118507
Balyqshy,47.0667,51.8667,44.6,65,0,11.18,KZ,1613118507
Aldan,58.6031,125.3894,-0.96,93,100,7.63,RU,1613118508
Narsaq,60.9167,-46.05,41.0,28,90,42.57,GL,1613118508
Touros,-5.1989,-35.4608,75.2,94,40,3.44,BR,1613118508
Leningradskiy,69.3833,178.4167,-14.42,84,100,15.35,RU,1613118508
Olenino,56.2092,33.4889,4.84,92,100,14.47,RU,1613118508
Elliot,-31.3333,27.85,80.29,25,97,1.39,ZA,1613118508
Mareeba,-17.0,145.4333,78.8,83,75,8.05,AU,1613118508
Rawson,-43.3002,-65.1023,69.42,60,100,11.36,AR,1613118509
Jamestown,42.097,-79.2353,10.4,72,75,6.91,US,1613118509
Njombe,-9.3333,34.7667,62.78,86,98,8.46,TZ,1613118509
Clyde River,70.4692,-68.5914,3.2,92,100,26.46,CA,1613118489
Ugoofaaru,5.6667,73.0,80.64,70,18,12.5,MV,1613118509
Rapid City,44.0805,-103.231,-9.99,64,90,9.22,US,1613118251
Pisco,-13.7,-76.2167,75.2,69,40,2.3,PE,1613118509
Amapá,1.0,-52.0,70.92,99,58,1.81,BR,1613118509
Poum,-20.2333,164.0167,79.02,78,6,11.07,NC,1613118510
Anadyr,64.75,177.4833,-29.0,68,0,17.9,RU,1613118510
Port Blair,11.6667,92.75,81.99,64,100,12.15,IN,1613118510
Namatanai,-3.6667,152.4333,81.05,81,100,5.37,PG,1613118510
Imbituba,-28.24,-48.6703,71.6,94,40,4.61,BR,1613118338
Herat Province,34.5,62.0,71.6,15,0,3.44,AF,1613118350
Vao,-22.6667,167.4833,77.95,75,4,4.34,NC,1613118510
Sinnamary,5.3833,-52.95,77.0,87,80,13.02,GF,1613118511
Purificación,3.8587,-74.9313,74.1,80,100,1.59,CO,1613118511
The Valley,18.217,-63.0578,73.99,88,75,6.91,AI,1613118511
Chokurdakh,70.6333,147.9167,-19.46,75,3,2.57,RU,1613118511
Makkah al Mukarramah,21.4267,39.8261,81.57,41,0,3.53,SA,1613118511
Balkanabat,39.5108,54.3671,59.23,44,0,6.93,TM,1613118511
Port Macquarie,-31.4333,152.9167,78.01,72,100,12.28,AU,1613118511
Port Elizabeth,-33.918,25.5701,77.0,83,0,9.22,ZA,1613118511
Lorengau,-2.0226,147.2712,83.59,78,64,6.29,PG,1613118512
Antofagasta,-23.65,-70.4,64.4,68,0,1.14,CL,1613118512
Oddur,4.1213,43.8894,87.39,32,96,18.81,SO,1613118512
Arrondissement de Dieppe,49.75,1.1667,28.0,71,100,7.0,FR,1613118512
Beringovskiy,63.05,179.3167,-18.87,84,100,22.39,RU,1613118512
Nioro,13.35,-15.75,70.68,19,0,6.58,GM,1613118512
Kumul,42.8,93.45,43.29,51,52,2.24,CN,1613118513
Limbuhan,11.8838,124.0501,82.27,76,20,2.46,PH,1613118513
San Juan,-31.5375,-68.5364,73.99,40,61,2.95,AR,1613118513
Vytegra,61.0064,36.4481,-5.91,89,13,2.46,RU,1613118513
Longyearbyen,78.2186,15.6401,10.4,67,75,17.27,SJ,1613118513
Plattsburgh,44.6995,-73.4529,1.4,55,1,4.61,US,1613118239
Oriximiná,-1.7656,-55.8661,74.5,94,100,3.33,BR,1613118514
St. George's,12.0564,-61.7485,75.2,88,20,9.22,GD,1613118249
Provideniya,64.3833,-173.3,-6.0,86,100,26.06,RU,1613118514
Naranjal,-2.6667,-79.6167,77.0,88,75,4.61,EC,1613118514
Kahului,20.8947,-156.47,69.8,68,1,9.22,US,1613118514
La Romana,18.4273,-68.9728,71.87,87,11,8.95,DO,1613118514
Tiksi,71.6872,128.8694,-10.89,89,20,2.75,RU,1613118514
Airai,-8.9266,125.4092,66.81,100,100,2.37,TL,1613118515
Los Llanos de Aridane,28.6585,-17.9182,60.8,72,20,4.61,ES,1613118515
Kazygurt,41.7589,69.3864,68.0,19,0,13.8,KZ,1613118515
Oytal,42.9057,73.2697,41.97,85,100,4.16,KZ,1613118515
Broome,42.2506,-75.833,6.8,85,1,4.61,US,1613118515
Grindavik,63.8424,-22.4338,35.6,87,90,26.46,IS,1613118515
Campbellton,48.0075,-66.6727,8.6,72,100,11.5,CA,1613118515
Bambous Virieux,-20.3428,57.7575,86.0,58,40,16.11,MU,1613118516
Padang,-0.9492,100.3543,89.6,55,20,8.05,ID,1613118516
Kralendijk,12.15,-68.2667,75.2,83,20,13.8,BQ,1613118516
Savannah Bight,16.45,-85.85,78.01,88,75,3.0,HN,1613118516
Hurricane,37.1753,-113.2899,55.0,40,90,9.22,US,1613118516
Cockburn Town,21.4612,-71.1419,76.3,77,14,19.17,TC,1613118516
Laas,46.6166,10.7002,26.01,85,0,6.91,IT,1613118516
Praia,14.9215,-23.5087,69.8,64,20,21.85,CV,1613118517
Tuatapere,-46.1333,167.6833,55.99,77,57,5.01,NZ,1613118517
Gamboula,4.1178,15.1393,86.76,17,0,3.09,CF,1613118517
Verkhnevilyuysk,63.4453,120.3167,-12.14,89,100,4.61,RU,1613118517
Humen,22.819,113.6731,73.0,56,20,6.71,CN,1613118376
Mahajanga,-15.7167,46.3167,89.6,62,20,9.22,MG,1613118517
Orlik,52.5178,99.825,-2.31,75,45,1.63,RU,1613118518
Saint George,37.1041,-113.5841,55.0,40,90,9.22,US,1613118518
Harper,4.375,-7.7169,79.77,88,93,5.91,LR,1613118518
Kalanguy,51.0167,116.5167,7.2,93,100,11.23,RU,1613118518
Laguna,38.421,-121.4238,53.01,87,75,6.91,US,1613118518
Margate,51.3813,1.3862,32.0,53,93,4.0,GB,1613118518
Port Hedland,-20.3167,118.5667,87.8,62,0,18.41,AU,1613118519
Lavrentiya,65.5833,-171.0,-13.29,85,100,17.78,RU,1613118519
Santiago de Chuco,-8.15,-78.1833,50.32,82,100,1.32,PE,1613118519
Saint-Augustin,51.226,-58.6502,24.49,93,100,16.98,CA,1613118519
Aranjuez,40.0311,-3.6025,53.01,93,40,10.36,ES,1613118519
Qaanaaq,77.484,-69.3632,7.11,72,0,8.57,GL,1613118519
Anilao,12.714,121.5124,82.24,79,43,8.9,PH,1613118519
Ribeira Grande,38.5167,-28.7,60.8,67,40,25.32,PT,1613118520
Keskin,39.6731,33.6136,47.55,55,66,24.63,TR,1613118520
Upernavik,72.7868,-56.1549,2.61,83,100,8.48,GL,1613118520
Severo-Kuril'sk,50.6789,156.125,28.47,93,100,2.98,RU,1613118520
Pumiao,22.75,108.4833,73.4,46,20,4.47,CN,1613118520
Port Shepstone,-30.7414,30.455,81.5,66,0,20.33,ZA,1613118520
Halden,59.1226,11.3871,14.0,62,0,4.61,NO,1613118520
Varlamovo,53.1897,48.4226,13.95,95,95,3.69,RU,1613118521
Túquerres,1.0923,-77.6209,46.81,100,57,1.16,CO,1613118521
Lompoc,34.6391,-120.4579,51.8,100,90,5.75,US,1613118448
Fort Nelson,58.8053,-122.7002,-7.6,84,90,0.74,CA,1613118521
Eyl,7.9803,49.8164,82.65,44,29,19.53,SO,1613118521
Avera,33.194,-82.5271,60.8,97,90,0.56,US,1613118506
Kaitangata,-46.2817,169.8464,55.99,72,0,5.99,NZ,1613118521
Puteyets,65.1716,57.091,-13.2,88,100,2.59,RU,1613118522
Broken Hill,-31.95,141.4333,71.6,78,90,11.5,AU,1613118522
Tocopilla,-22.092,-70.1979,67.68,66,0,1.1,CL,1613118522
Cherskiy,68.75,161.3,-25.96,82,0,1.16,RU,1613118522
Isla Vista,34.4133,-119.861,51.8,87,1,5.75,US,1613118522
Sydney Mines,46.2367,-60.2177,14.0,67,75,12.66,CA,1613118522
Oranjemund,-28.55,16.4333,67.1,80,37,9.04,NA,1613118522
Mount Gambier,-37.8333,140.7667,59.0,88,75,20.71,AU,1613118522
San Cristobal,7.7669,-72.225,65.77,82,89,1.5,VE,1613118523
Ţahţā,26.7693,31.5021,59.0,47,0,4.61,EG,1613118523
Korla,41.7597,86.1469,45.93,50,35,7.78,CN,1613118523
Pechenga,69.5259,31.1703,-0.4,85,20,9.22,RU,1613118523
Shalazhi,43.0978,45.3608,51.8,100,90,8.95,RU,1613118523
Lengshuitan,26.4111,111.5956,63.82,60,63,3.91,CN,1613118523
Ginir,7.1333,40.7,71.35,31,30,7.81,ET,1613118523
Bandarbeyla,9.4942,50.8122,78.4,55,14,17.38,SO,1613118524
Xapuri,-10.6517,-68.5044,71.58,95,100,1.32,BR,1613118524
Sayyan,15.1718,44.3244,59.05,34,0,0.43,YE,1613118524
Aklavik,68.2191,-135.0107,3.2,72,98,5.75,CA,1613118524
Mitsamiouli,-11.3847,43.2844,86.0,66,75,10.36,KM,1613118524
Kurayoshi,35.4333,133.8167,51.8,71,40,2.3,JP,1613118524
Kiryat Gat,31.61,34.7642,62.01,100,0,3.0,IL,1613118424
